n,p,kappa,law,gamma,strength,replication,method,estimate
1000,600,1,gaussian,1.5,1.8669989318654328,33,Algorithm 3,1.7686750988742992
1000,600,1,gaussian,1.5,1.8669989318654328,33,SN13,1.763274186404418
1000,600,1,gaussian,1.5,1.8669989318654328,33,OptShrink,1.7671011058682324
1000,600,1,gaussian,1.5,1.8669989318654328,34,Algorithm 3,1.88333926913049
1000,600,1,gaussian,1.5,1.8669989318654328,34,SN13,1.8687950398052313
1000,600,1,gaussian,1.5,1.8669989318654328,34,OptShrink,1.8725109848027996
1000,600,1,gaussian,1.5,1.8669989318654328,35,Algorithm 3,1.8388944640682714
1000,600,1,gaussian,1.5,1.8669989318654328,35,SN13,1.839536392693695
1000,600,1,gaussian,1.5,1.8669989318654328,35,OptShrink,1.8434867959069179
1000,600,1,gaussian,1.5,1.8669989318654328,36,Algorithm 3,1.8857947975315716
1000,600,1,gaussian,1.5,1.8669989318654328,36,SN13,1.8365339294498764
1000,600,1,gaussian,1.5,1.8669989318654328,36,OptShrink,1.840173529126105
1000,600,1,gaussian,1.5,1.8669989318654328,37,Algorithm 3,1.8402712858062342
1000,600,1,gaussian,1.5,1.8669989318654328,37,SN13,1.826114388403927
